Section,Staff,Module Codes,Module Name,Coursework Name,Start Date,End Date,Value,Submit Work To,Year Group
Pure,Professor A Corti,MATH60037/MATH70037,Galois Theory,Progress Test 2,08/03/2023,22/03/2023,5,In Person Test,3/4
Pure,Dr M Zordan,MATH60038/MATH70038,Graph Theory,Test 1,27/01/2023,10/02/2023,3.5,In Person Test,3/4
Pure,Dr M Zordan,MATH60038/MATH70038,Graph Theory,Test 2,24/02/2023,10/03/2023,3.5,In Person Test,3/4
Pure,Dr M Zordan,MATH60038/MATH70038,Graph Theory,Coursework 1,10/03/2023,24/03/2023,3,Blackboard,3/4
Pure,Dr T. Schedler,MATH60039/MATH70039,Group Representation Theory,Coursework 1,30/01/2023,13/02/2023,5,Blackboard,3/4
Pure,Dr T. Schedler,MATH60039/MATH70039,Group Representation Theory,Coursework 2,27/02/2023,13/03/2023,5,Blackboard,3/4
Pure,Professor K. Buzzard,MATH60040/MATH70040,Formalising Mathematics,Coursework 1 - Point at which Students Committed to Module,20/01/2023,03/02/2023,20,Blackboard,3/4
Pure,Professor K. Buzzard,MATH60040/MATH70040,Formalising Mathematics,Project 2,21/02/2023,07/03/2023,30,Blackboard,3/4
Pure,Professor K. Buzzard,MATH60040/MATH70040,Formalising Mathematics,Project 3,17/03/2023,31/03/2023,50,Blackboard,3/4
Pure,Dr A. Pal,MATH60042/MATH70042,Algebraic Number Theory,Coursework 1,07/02/2023,21/02/2023,5,Blackboard,3/4
Pure,Dr A. Pal,MATH60042/MATH70042,Algebraic Number Theory,Coursework 2,07/03/2023,21/03/2023,5,Blackboard,3/4
Pure,Professor D. Crisan,MATH70055,Stochastic Calculus with Applications to non-linear Filtering,Coursework 1,03/03/2023,17/03/2023,10,Blackboard,3/4
Pure,Dr D. Helm,MATH70056,Algebraic Geometry,Coursework 1,02/02/2023,16/02/2023,5,Blackboard,3/4
Pure,Dr D. Helm,MATH70056,Algebraic Geometry,Coursework 2,02/03/2023,16/03/2023,5,Blackboard,3/4
Pure,Dr M. Guaraco,MATH70057,Riemannian Geometry,Coursework 1,03/03/2023,17/03/2023,10,Blackboard,3/4
Pure,Dr S. Lynch,MATH70059,Differential Topology,Problem Sheet 1,16/01/2023,30/01/2023,3,Blackboard,3/4
Pure,Dr S. Lynch,MATH70059,Differential Topology,Problem Sheet 2,06/02/2023,20/02/2023,3,Blackboard,3/4
Pure,Dr S. Lynch,MATH70059,Differential Topology,Problem Sheet 3,06/03/2023,20/03/2023,4,Blackboard,3/4
Pure,Dr M. Matviichuk,MATH70060,Complex Manifolds,Coursework 1,27/01/2023,10/02/2023,5,Blackboard,3/4
Pure,Dr M. Matviichuk,MATH70060,Complex Manifolds,Coursework 2,24/02/2023,10/03/2023,5,Blackboard,3/4
Pure,Dr S. Feyzbakhsh,MATH70063,Algebra 4,Coursework 1,18/01/2023,01/02/2023,2.5,Blackboard,3/4
Pure,Dr S. Feyzbakhsh,MATH70063,Algebra 4,Coursework 2,01/02/2023,15/02/2023,2.5,Blackboard,3/4
Pure,Dr S. Feyzbakhsh,MATH70063,Algebra 4,Coursework 3,15/02/2023,01/03/2023,2.5,Blackboard,3/4
Pure,Dr S. Feyzbakhsh,MATH70063,Algebra 4,Coursework 4,01/03/2023,15/03/2023,2.5,Blackboard,3/4
Statistics,Dr K. Ray,MATH60043/MATH70043,Statistical Theory,Coursework 1,28/02/2023,14/03/2023,10,Blackboard,3/4
Statistics,Dr C. Hallsworth,MATH60044/MATH70044,Statistical Modelling 2,Coursework 1,22/02/2023,08/03/2023,25,Blackboard,3/4
Statistics,Professor A. Gandy,MATH60048/MATH70048,Survival Models,Coursework 1,23/03/2023,09/03/2023,10,Blackboard,3/4
Statistics,Nason,MATH60049/MATH70049,Introduction to Statistical Learning,Coursework 1,16/02/2023,02/03/2023,10,Blackboard,3/4
